Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Years,Div. Growth 3Y,Div. Growth 5Y,Category,fiveYearAvgDivdendYield,Trainling_5Y_avg_dividend_yield,Trainling_5Y_min_dividend_yield,Trainling_5Y_max_dividend_yield,Trainling_10Y_avg_dividend_yield,Trainling_10Y_min_dividend_yield,Trainling_10Y_max_dividend_yield,Sector,Industry,FCF_Dividend_Ratio,Debt_to_Equity,ROE,Five_y_DividendYield_diff,Ten_y_DividendYield_diff
NEE,"NextEra Energy, Inc.",167.55B,2.27,0.0282,0.7192000000000001,0.1,Quarterly,29.0,0.0915,0.1011,Aristocrat,0.0243,0.026873695165450073,0.018314182371134337,0.040607702556471836,0.02894305942151462,0.018314182371134337,0.040607702556471836,Utilities,Utilities - Regulated Electric,-2.89,144.16,8.24,0.16049382716049387,-0.025673147081412932
TXN,Texas Instruments Incorporated,160.94B,5.44,0.030699999999999998,1.0019,0.045599999999999995,Quarterly,21.0,0.0479,0.0745,SCHD,0.0268,0.029629420855715394,0.022967269433891734,0.03930101080507016,0.030929014485948186,0.022967269433891734,0.045358908523578774,Technology,Semiconductors,-0.13,84.48,29.76,0.14552238805970139,-0.0074045193406416
SPGI,S&P Global Inc.,159.19B,3.84,0.0073,0.27940000000000004,0.054900000000000004,Quarterly,52.0,0.049699999999999994,0.0667,Aristocrat+King,0.0081,0.008502229511865564,0.006651336640984524,0.01218862773130738,0.009938255395517336,0.006651336640984524,0.018083176583269852,Financial Services,Financial Data & Stock Exchanges,4.17,31.78,11.99,-0.09876543209876537,-0.26546464047475826
LOW,"Lowe's Companies, Inc.",136.31B,4.80,0.019799999999999998,0.3937,0.044000000000000004,Quarterly,53.0,0.0634,0.1561,Aristocrat+King,0.0173,0.01895865573432294,0.012372371843238484,0.024996801059115066,0.019915062458760433,0.012372371843238484,0.037584566885187805,Consumer Cyclical,Home Improvement Retail,1.77,0.0,0.0,0.14450867052023114,-0.005777659949533334
MDT,Medtronic plc,124.70B,2.84,0.0292,0.7669,0.0143,Quarterly,49.0,0.0196,0.044199999999999996,Aristocrat,0.0287,0.03126131661882059,0.02023790972948528,0.04244955049737822,0.028668858853307364,0.02023790972948528,0.04244955049737822,Healthcare,Medical Devices,1.08,59.56,9.82,0.017421602787456462,0.018526762764097995
CB,Chubb Limited,123.31B,3.88,0.0124,0.15960000000000002,0.0641,Quarterly,33.0,0.051,0.0433,Aristocrat,0.0154,0.016156050362169282,0.01207513795867228,0.023075509450954237,0.020293790570675783,0.01207513795867228,0.03478748911608162,Financial Services,Insurance - Property & Casualty,8.23,30.96,13.64,-0.19480519480519487,-0.3889756594848372
COP,ConocoPhillips,113.44B,3.36,0.0366,0.44939999999999997,0.0192,Quarterly,,-0.13949999999999999,0.1334,SCHD,0.0254,0.029158542753795924,0.009967374779017883,0.060947517192480635,0.03176682733523358,0.009967374779017883,0.12439928138405712,Energy,Oil & Gas E&P,1.47,36.17,15.42,0.4409448818897639,0.1521452744953789
LMT,Lockheed Martin Corporation,112.40B,13.80,0.028399999999999998,0.7465999999999999,0.0471,Quarterly,22.0,0.054000000000000006,0.0638,SCHD,0.0267,0.02931016268489682,0.021237500342061788,0.0379755695017151,0.03066253790461491,0.021237500342061788,0.043318173040356685,Industrials,Aerospace & Defense,1.39,358.99,62.78,0.0636704119850186,-0.07378834431948264
PH,Parker-Hannifin Corporation,112.02B,7.20,0.008100000000000001,0.2503,0.1036,Quarterly,69.0,0.0974,0.1484,King,0.0127,0.01389279239095627,0.008007740772635441,0.023553984531115613,0.0174074891894964,0.008007740772635441,0.03911458273723398,Industrials,Specialty Industrial Machinery,3.41,74.95,27.29,-0.3622047244094487,-0.5346830371787619
BMY,Bristol-Myers Squibb Company,111.38B,2.52,0.0461,0.8382,0.028900000000000002,Quarterly,18.0,0.0437,0.062400000000000004,SCHD,0.0383,0.04306532850922563,0.030406890848360527,0.06455901365163583,0.04003367145740795,0.027241089791590654,0.06455901365163583,Healthcare,Drug Manufacturers - General,2.87,274.41,33.78,0.2036553524804178,0.15153065711312666
ADP,"Automatic Data Processing, Inc.",104.39B,6.80,0.0264,0.6239,0.10099999999999999,Quarterly,50.0,0.1309,0.11539999999999999,Aristocrat+King,0.0196,0.02157509672356411,0.016546357152064938,0.026458113464923487,0.023784359321256464,0.016546357152064938,0.037690215272520554,Technology,Software - Application,1.61,154.92,70.57,0.34693877551020413,0.10997314005451876
MO,"Altria Group, Inc.",99.01B,4.24,0.0719,0.7936,0.04,Quarterly,56.0,0.0417,0.0412,King+SCHD,0.0775,0.09509754943417544,0.06125792938497366,0.12245016465977837,0.09280362713748475,0.05705668146386565,0.16967821191383203,Consumer Defensive,Tobacco,1.04,0.0,0.0,-0.07225806451612896,-0.2252457989224589
GD,General Dynamics Corporation,93.16B,6.00,0.0174,0.3887,0.056299999999999996,Quarterly,34.0,0.059800000000000006,0.064,Aristocrat,0.0214,0.023113834433530073,0.01696017238977307,0.033718115180111585,0.024153833971150233,0.01696017238977307,0.0438102177355052,Industrials,Aerospace & Defense,2.16,40.42,17.78,-0.1869158878504673,-0.27961747104899093
UPS,"United Parcel Service, Inc.",85.40B,6.56,0.0652,1.0134,0.0060999999999999995,Quarterly,15.0,0.020099999999999996,0.1013,SCHD,0.0395,0.04507133076516884,0.021152875630889367,0.08081906355863659,0.043642279914713596,0.021152875630889367,0.08081906355863659,Industrials,Integrated Freight & Logistics,0.66,184.32,33.62,0.6506329113924049,0.4939641129522752
SHW,The Sherwin-Williams Company,80.19B,3.16,0.0097,0.3089,0.10490000000000001,Quarterly,48.0,0.0953,0.10830000000000001,Aristocrat,0.0085,0.009048657400997702,0.0064801300527698915,0.012285464203404265,0.009662647255432593,0.0064801300527698915,0.015190636482824206,Basic Materials,Specialty Chemicals,2.45,325.15,59.94,0.14117647058823524,0.0038656843802723126
EMR,Emerson Electric Co.,76.64B,2.22,0.0163,0.5285,0.0166,Quarterly,68.0,0.0108,0.0124,Aristocrat+King,0.0209,0.022083452949489414,0.014231986508756076,0.030089695733457197,0.029918459979239618,0.014231986508756076,0.05965280205056507,Industrials,Specialty Industrial Machinery,2.2,67.78,9.36,-0.22009569377990432,-0.4551858614610997
CTAS,Cintas Corporation,76.44B,1.80,0.009399999999999999,0.36369999999999997,0.15460000000000002,Quarterly,44.0,0.1516,0.09539999999999998,Aristocrat,0.0093,0.010195314433557067,0.006882764228397599,0.04620375145408992,0.026559198553439176,0.006882764228397599,0.06870331016148691,Industrials,Specialty Business Services,2.13,72.66,43.4,0.010752688172042947,-0.6460736576411947
ECL,Ecolab Inc.,75.22B,2.92,0.011000000000000001,0.3857,0.1356,Quarterly,39.0,0.0917,0.0723,Aristocrat,0.0104,0.011002717280536839,0.008548036865713295,0.01609853218615127,0.011465228471900365,0.008548036865713295,0.01609853218615127,Basic Materials,Specialty Chemicals,1.69,103.92,21.87,0.05769230769230785,-0.04057733982716284
ITW,Illinois Tool Works Inc.,73.09B,6.44,0.0256,0.6035,0.0724,Quarterly,55.0,0.0712,0.0707,Aristocrat+King,0.0222,0.02407978918053289,0.02097279181571133,0.03108658364325594,0.0256861784200556,0.02097279181571133,0.04147207842631653,Industrials,Specialty Industrial Machinery,1.31,278.65,91.68,0.15315315315315317,-0.0033550502782581956
CL,Colgate-Palmolive Company,64.69B,2.08,0.0259,0.5826,0.04,Quarterly,62.0,0.034300000000000004,0.034,Aristocrat+King,0.023,0.02477771239141708,0.01892615116084976,0.02967436998128427,0.026377120998300852,0.01892615116084976,0.034277425829468834,Consumer Defensive,Household & Personal Products,1.63,680.05,293.63,0.12608695652173912,-0.01808844105206128
AFL,Aflac Incorporated,57.98B,2.44,0.022000000000000002,0.306,0.1298,Quarterly,42.0,0.132,0.1497,Aristocrat,0.0219,0.02450431251557581,0.017813393450636913,0.032647281575237816,0.026490642997615246,0.017813393450636913,0.05089979735519843,Financial Services,Insurance - Life,5.07,50.0,15.58,0.004566210045662231,-0.16951808221565262
SLB,SLB N.V.,56.72B,1.14,0.03,0.4435,0.0364,Quarterly,3.0,0.20600000000000002,0.054299999999999994,SCHD,0.0206,0.02233156414499997,0.011312093009928807,0.03655585607879436,0.03484517863895352,0.011312093009928807,0.1883954987429532,Energy,Oil & Gas Equipment & Services,1.26,47.46,15.18,0.4563106796116504,-0.1390487530328538
EOG,"EOG Resources, Inc.",56.36B,4.08,0.0393,0.397,0.07690000000000001,Quarterly,1.0,-0.2086,0.2161,SCHD,0.0256,0.03711879935704687,0.02092252380599466,0.11504687614688813,0.026880971370129854,0.007434628037035597,0.11504687614688813,Energy,Oil & Gas E&P,1.32,26.84,18.48,0.53515625,0.46200073869615355
BDX,"Becton, Dickinson and Company",55.88B,4.20,0.021400000000000002,0.7165,0.07200000000000001,Quarterly,53.0,0.0581,0.054400000000000004,Aristocrat+King,0.0154,0.016513509664462436,0.01313730910648796,0.025617576963911818,0.016092080442310135,0.012138067447656052,0.025617576963911818,Healthcare,Medical Instruments & Supplies,3.01,78.85,6.54,0.38961038961038974,0.32984669550457935
APD,"Air Products and Chemicals, Inc.",54.72B,7.16,0.0291,,0.0113,Quarterly,50.0,0.0338,0.0596,Aristocrat,0.0237,0.025727623017751125,0.02072206591481012,0.03400729380068455,0.027070502983798553,0.019359712407053278,0.035320114754278174,Basic Materials,Specialty Chemicals,-4.14,106.23,-1.92,0.2278481012658229,0.07497079080562645
F,Ford Motor Company,53.23B,0.75,0.056100000000000004,0.6411,-0.0385,Quarterly,,-0.145,0.4963,SCHD,0.0576,0.07046010060323196,0.02082337418668624,0.34193526099563903,0.08588318818043628,0.02082337418668624,0.34193526099563903,Consumer Cyclical,Auto Manufacturers,1.69,346.67,10.29,-0.02604166666666657,-0.3467871746664002
O,Realty Income Corporation,52.28B,3.24,0.0572,3.0081,0.0287,Monthly,21.0,0.027999999999999997,0.028999999999999998,Aristocrat,0.0496,0.019015615971120187,0.01571285616588037,0.02503945067492648,0.019749170271526454,0.01497527852873033,0.029222543952978738,Real Estate,REIT - Retail,0.69,73.98,2.49,0.15322580645161296,1.896324210767914
VLO,Valero Energy Corporation,50.16B,4.52,0.0275,0.9466,0.056100000000000004,Quarterly,2.0,0.0451,0.028900000000000002,SCHD,0.0372,0.04095223006155236,0.024529484878922904,0.08758935059291748,0.050303497328436905,0.024529484878922904,0.15172695409615217,Energy,Oil & Gas Refining & Marketing,2.51,39.56,5.24,-0.26075268817204295,-0.45331832853589554
CAH,"Cardinal Health, Inc.",49.31B,2.04,0.0098,0.3075,0.0101,Quarterly,1.0,0.01,0.01,Aristocrat,0.025,0.026516579172164004,0.009563468117997211,0.04695550046540456,0.03260252657846668,0.009563468117997211,0.05501277641363399,Healthcare,Medical Distribution,9.7,0.0,0.0,-0.608,-0.6994097995315276
GWW,"W.W. Grainger, Inc.",49.01B,9.04,0.0088,0.24739999999999998,0.1024,Quarterly,54.0,0.0867,0.0793,Aristocrat+King,0.0107,0.011331534234333265,0.006776322857469985,0.01774561023471546,0.01714381535339716,0.006776322857469985,0.03683554328378592,Industrials,Industrial Distribution,2.52,68.67,46.72,-0.17757009345794383,-0.48669535814522036
ROP,"Roper Technologies, Inc.",48.56B,3.64,0.008100000000000001,0.2332,0.1008,Quarterly,33.0,0.1001,0.1002,Aristocrat,0.0054,0.0057552317346127495,0.004625340662988467,0.007506141138310346,0.0059799328179546045,0.004625340662988467,0.008338805338502307,Technology,Software - Application,5.55,47.29,8.15,0.5000000000000001,0.3545302675775798
FAST,Fastenal Company,48.02B,0.88,0.021,0.8184,0.12179999999999999,Quarterly,26.0,0.1099,0.045599999999999995,Aristocrat+SCHD,0.0216,0.02424265065957022,0.01755456801938221,0.03959965142747624,0.028482154797211726,0.01755456801938221,0.04110086035484738,Industrials,Industrial Distribution,0.75,13.28,32.74,-0.02777777777777777,-0.26269623385180796
OKE,"ONEOK, Inc.",46.08B,4.12,0.056299999999999996,0.7592,0.0404,Quarterly,2.0,0.030899999999999997,0.0195,SCHD,0.0579,0.0669821845313302,0.035612308300308475,0.1334744872377308,0.08594933830610521,0.035612308300308475,0.35864901915703346,Energy,Oil & Gas Midstream,0.55,152.22,17.85,-0.02763385146804843,-0.3449629617916342
TGT,Target Corporation,43.71B,4.56,0.0472,0.5476,0.018000000000000002,Quarterly,54.0,0.0297,0.1085,Aristocrat+King+SCHD,0.0273,0.030283890026737408,0.011754020932898766,0.05449330764065442,0.034680166749585205,0.011754020932898766,0.06107999783308418,Consumer Defensive,Discount Stores,1.26,132.06,25.09,0.7289377289377288,0.3610084501847021
PAYX,"Paychex, Inc.",41.13B,4.32,0.0377,0.9547,0.1018,Quarterly,11.0,0.1012,0.11220000000000001,SCHD,0.0266,0.029740636920487958,0.020874583494755447,0.03983035253979142,0.034491918781779186,0.020874583494755447,0.05817911069651296,Technology,Software - Application,1.33,129.81,40.88,0.4172932330827067,0.09300964781105546
NUE,Nucor Corporation,37.87B,2.24,0.013500000000000002,0.3116,0.0184,Quarterly,52.0,0.0321,0.06509999999999999,Aristocrat+King,0.0154,0.016221039800099948,0.011015668316371328,0.035815310908181464,0.025293466329887545,0.011015668316371328,0.06351722975882682,Basic Materials,Steel,-1.44,31.25,9.01,-0.1233766233766233,-0.46626532623375616
HSY,The Hershey Company,37.47B,5.48,0.0297,0.8190000000000001,,Quarterly,15.0,0.10980000000000001,0.11460000000000001,SCHD,0.0226,0.02486023010916562,0.016188766947448373,0.03910245925780109,0.026773065529195266,0.016188766947448373,0.03910245925780109,Consumer Defensive,Confectioners,1.52,125.76,31.01,0.31415929203539833,0.10932384517615272
ED,"Consolidated Edison, Inc.",35.92B,3.40,0.0342,0.5928,0.0241,Quarterly,52.0,0.0225,0.0206,Aristocrat+King,0.0357,0.03937749709362051,0.030768873867479576,0.05587697920141875,0.04330337289785427,0.030768873867479576,0.05888709746120205,Utilities,Utilities - Regulated Electric,-0.07,110.37,8.84,-0.04201680672268911,-0.21022318329169576
SYY,Sysco Corporation,35.56B,2.16,0.0292,0.5713,0.0493,Quarterly,56.0,0.0316,0.0342,Aristocrat+King,0.0253,0.027380225318104273,0.023002703769407787,0.03367378266136232,0.02870551734384862,0.021339529487864408,0.06726951196589159,Consumer Defensive,Food Distribution,1.56,690.72,83.46,0.15415019762845852,0.017226049272278478
KMB,Kimberly-Clark Corporation,33.54B,5.04,0.0499,0.8529000000000001,0.032799999999999996,Quarterly,53.0,0.0279,0.0332,Aristocrat+King+SCHD,0.0357,0.03995755782757667,0.03482166476416284,0.05098700485377807,0.04057669349429577,0.032832206909306286,0.05325776780747694,Consumer Defensive,Household & Personal Products,0.84,500.07,136.88,0.3977591036414565,0.2297699911653692
KVUE,Kenvue Inc.,32.97B,0.83,0.0482,1.1034,0.018500000000000003,Quarterly,2.0,,,Aristocrat+King,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Consumer Defensive,Household & Personal Products,1.1,85.66,13.47,0.0,0.0
FITB,Fifth Third Bancorp,31.87B,1.60,0.0332,0.4595,0.0694,Quarterly,14.0,0.0692,0.0735,SCHD,0.0357,0.039971562928519645,0.02760531205124326,0.06588200405002019,0.04016995615012428,0.024808183031373957,0.10353845536708868,Financial Services,Banks - Regional,0.0,0.0,11.51,-0.07002801120448185,-0.17351166936991333
ADM,Archer-Daniels-Midland Company,27.77B,2.04,0.0353,0.8287,0.02,Quarterly,52.0,0.0733,0.0707,Aristocrat+King+SCHD,0.0269,0.0296943177892735,0.018043327863942693,0.050159161854430555,0.034328540557285396,0.018043327863942693,0.0579308554057283,Consumer Defensive,Farm Products,2.52,40.47,5.24,0.31226765799256495,0.028298885619488807
BRO,"Brown & Brown, Inc.",27.59B,0.66,0.008199999999999999,0.18600000000000003,0.1389,Quarterly,32.0,0.12240000000000001,0.1162,Aristocrat,0.0063,0.006701038446166384,0.0048462732725963395,0.00895599184756654,0.009213652526623609,0.0048462732725963395,0.01864425065419388,Financial Services,Insurance Brokers,5.35,64.75,10.7,0.3015873015873014,-0.11001636144781639
DOV,Dover Corporation,27.37B,2.08,0.0104,0.1272,0.0098,Quarterly,70.0,0.009899999999999999,0.01,Aristocrat+King,0.013,0.013413771354958397,0.010091150931309785,0.018125919138189214,0.018858862684775136,0.010091150931309785,0.03787163873699155,Industrials,Specialty Industrial Machinery,4.23,40.08,15.88,-0.2,-0.44853514372338177
ATO,Atmos Energy Corporation,27.24B,4.00,0.023799999999999998,0.4839,0.0989,Quarterly,43.0,0.091,0.0897,Aristocrat,0.0244,0.026768528929796385,0.019532237465948267,0.0335897953365303,0.026639106280713285,0.019532237465948267,0.03449572506306369,Utilities,Utilities - Regulated Gas,-2.81,68.62,9.32,-0.024590163934426364,-0.10657663402051892
FTS,Fortis Inc.,25.91B,1.77,0.034300000000000004,0.7354,0.0195,Quarterly,9.0,0.0197,0.0361,King,0.0383,0.04246664968902646,0.03380816616168723,0.05272994978628851,0.0455906473581399,0.03380816616168723,0.06552826807246165,Utilities,Utilities - Regulated Electric,-3.31,131.1,7.61,-0.10443864229765004,-0.2476527097640351
CINF,Cincinnati Financial Corporation,25.88B,3.48,0.021,0.2589,0.0741,Quarterly,64.0,0.0803,0.0771,Aristocrat+King+SCHD,0.0241,0.026314032857969388,0.020763251697934183,0.03350204373747292,0.02974587275037468,0.020763251697934183,0.057365979087690824,Financial Services,Insurance - Property & Casualty,3.13,5.73,14.53,-0.1286307053941908,-0.29401970565024066
ES,Eversource Energy,25.20B,3.01,0.044800000000000006,0.8258,0.0524,Quarterly,25.0,0.056799999999999996,0.0581,Aristocrat,0.037,0.04194296699348997,0.030459157019589678,0.05748719610596261,0.040678820718874964,0.027738298023201574,0.05748719610596261,Utilities,Utilities - Regulated Electric,0.09,184.36,8.61,0.21081081081081104,0.10131019553408087
GIS,"General Mills, Inc.",25.08B,2.44,0.0519,0.5251,0.0167,Quarterly,6.0,0.0449,0.0397,SCHD,0.0341,0.03786000284803931,0.026282456962167036,0.053461876262719976,0.042135396216053875,0.026282456962167036,0.06834971087519906,Consumer Defensive,Packaged Foods,1.9,147.23,27.17,0.5219941348973608,0.23174349029203495
RF,Regions Financial Corporation,24.32B,1.06,0.0382,0.4537,0.051,Quarterly,12.0,0.1165,0.1069,SCHD,0.0381,0.0443156633395073,0.031721479808462384,0.07588727648155708,0.04324526284469792,0.02278402988777959,0.10664729644493767,Financial Services,Banks - Regional,0.0,0.0,11.4,0.0026246719160103915,-0.1166662545864604
HAL,Halliburton Company,23.59B,0.68,0.024300000000000002,0.4486,,Quarterly,3.0,0.1231,0.1664,SCHD,0.0166,0.018288133984145163,0.0058198983483330885,0.03609940067531738,0.022417629281814115,0.0058198983483330885,0.17247868160648597,Energy,Oil & Gas Equipment & Services,3.44,83.61,12.79,0.4638554216867471,0.08396832218618787
PPG,"PPG Industries, Inc.",23.24B,2.84,0.0274,0.6404000000000001,0.0451,Quarterly,54.0,0.043,0.0547,Aristocrat+King,0.019,0.020440762192031028,0.012981237523266138,0.030283366667623688,0.019820987148210442,0.012981237523266138,0.031499103397758486,Basic Materials,Specialty Chemicals,1.46,99.56,16.16,0.44210526315789483,0.38237312779216637
TROW,"T. Rowe Price Group, Inc.",22.85B,5.08,0.048499999999999995,0.5542,0.0242,Quarterly,39.0,0.0191,0.0713,Aristocrat+SCHD,0.0387,0.04596423797583055,0.023537942022018702,0.07451625153783005,0.04166214736434097,0.023537942022018702,0.07451625153783005,Financial Services,Asset Management,0.83,4.09,18.67,0.25322997416020665,0.16412626492487536
DRI,"Darden Restaurants, Inc.",22.09B,6.00,0.0316,0.6183,0.0708,Quarterly,5.0,0.0765,0.5451,SCHD,0.028,0.0334454965639069,0.011597148601630731,0.04683141624199703,0.03578234870373524,0.011597148601630731,0.1210206266928928,Consumer Cyclical,Restaurants,1.27,398.72,54.1,0.12857142857142867,-0.11688301230205866
CHD,"Church & Dwight Co., Inc.",20.52B,1.18,0.0138,0.37229999999999996,0.039599999999999996,Quarterly,29.0,0.0364,0.0394,Aristocrat,0.0115,0.012108366603145187,0.010182760490894846,0.015469086954429225,0.013900036551923232,0.010182760490894846,0.02113193269495837,Consumer Defensive,Household & Personal Products,3.57,56.85,18.59,0.2,-0.007196855313980532
EXPD,"Expeditors International of Washington, Inc.",20.31B,1.54,0.0102,0.2505,0.0548,Semi-Annual,30.0,0.0475,0.0817,Aristocrat,0.0114,0.0240070355983778,0.017611336586833018,0.03220433403039891,0.02710893979455463,0.017611336586833018,0.03904180882911658,Industrials,Integrated Freight & Logistics,3.6,24.55,36.51,-0.10526315789473681,-0.6237403573396524
